Transcription Factor Family	Gene Symbol	Gene Name	Also Known As	Source Material for Membership
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	fuss	fussel	dCORL, CORL	(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	gem	gemini		(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	grh	grainy head	NTF-1, Elf-1, Gh, l(2)06850, Elf1	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Hsf	Heat shock factor	dHSF, l(2)03091, heat-shock transcription factor, HSF1, heat shock transcription factor	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	insv	insensitive		(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	lilli	lilliputian	l(2)00632, Su(Raf)2A, l(2)23Cc, SS2-1, SY2-1	(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Mabi	Mabiki		(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Mrtf	Myocardin-related transcription factor	DMRTF, mal-d, mal	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	NC2α	Negative Cofactor 2α	Drap1	(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	NC2β	Negative Cofactor 2β	BG:DS00929.3, Dr1, NC2 beta	(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	p53	p53	Dmp53, dp53	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Rfx	Rfx	dRFX, Regulatory factor X	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	row	relative of woc		(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Snoo	Sno oncogene	dSno, SnoN, dSki, l(2)SH1402	(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Stat92E	Signal-transducer and activator of transcription protein at 92E	STAT, marelle, mrl, D-STAT, Dstat	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	stc	shuttle craft	l(2)35Cb, l(2)br33, br33, BG:DS04929.4	(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Su(H)	Suppressor of Hairless	SuH, l(2)br7, Supressor of Hairless, CSL, l(2)35Bh	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Tdg	Thymine DNA glycosylase	Thd1, G/T-mismatch-specific-thymine-DNA-glycosylase, MUG	(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	TfAP-2	Transcription factor AP-2	dAP-2, AP-2, AP-2α, l(3)1215	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	woc	without children		(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	z	zeste	EG:BACH59J11.3	(Hammonds et al., 2013)
PAIRED DOMAIN TRANSCRIPTION FACTORS	Poxm	Pox meso	Pox-m	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
PAIRED DOMAIN TRANSCRIPTION FACTORS	Poxn	Pox neuro	Pox-n	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
PAIRED DOMAIN TRANSCRIPTION FACTORS	sv	shaven	D-Pax2, spa, sparkling, Pax2, dPax2	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
PAIRED HOMEOBOX TRANSCRIPTION FACTORS	ey	eyeless	Pax6, l(4)33, Pax-6, OK107, eye	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
PAIRED HOMEOBOX TRANSCRIPTION FACTORS	eyg	eyegone	lune, Eygone, BK27, lun	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
PAIRED HOMEOBOX TRANSCRIPTION FACTORS	gsb	gooseberry	gsb-d, BSH9, l(2)01155	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
PAIRED HOMEOBOX TRANSCRIPTION FACTORS	gsb-n	gooseberry-neuro	gsb-p, gsb, gsbn, BSH4, gsb-neuro	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
PAIRED HOMEOBOX TRANSCRIPTION FACTORS	prd	paired		(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
PAIRED HOMEOBOX TRANSCRIPTION FACTORS	toe	twin of eyg	twin of eyegone	(Bürglin and Affolter, 2016)
PAIRED HOMEOBOX TRANSCRIPTION FACTORS	toy	twin of eyeless	l(4)8, l(4)102CDg	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	al	aristaless	L13-4	(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG9876			(Bürglin and Affolter, 2016, Popovici et al., 2001)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG11294			(Bürglin and Affolter, 2016, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG32532			(Bürglin and Affolter, 2016, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG34367			(Bürglin and Affolter, 2016)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Drgx	Dorsal root ganglia homeobox		(Bürglin and Affolter, 2016, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Gsc	Goosecoid	D-gsc, Muenster 72, 60Mun2, l(2)05341	(Bürglin and Affolter, 2016, Popovici et al., 2001)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	hbn	homeobrain		(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	oc	ocelliless	otd, orthodenticle, Otx, ort, orthodentical	(Bürglin and Affolter, 2016, Popovici et al., 2001)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	OdsH	Ods-site homeobox		(Bürglin and Affolter, 2016, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	otp	orthopedia	W26, bk24	(Bürglin and Affolter, 2016)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	PHDP	Putative homeodomain protein		(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Pph13	PvuII-PstI homology 13	Munster, hazy, Mu	(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Ptx1	Ptx1	D-Ptx1	(Bürglin and Affolter, 2016, Popovici et al., 2001)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	repo	reversed polarity	RK2, reverse polarity	(Bürglin and Affolter, 2016, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Rx	Retinal Homeobox	DRx, E97, PPH17, bk50	(Bürglin and Affolter, 2016, Galliot et al., 1999)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	unc-4	unc-4	Dunc-4	(Bürglin and Affolter, 2016)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Vsx1	Visual system homeobox 1	dChx1, Chx1, dVsx1, lincRNA.S8688	(Bürglin and Affolter, 2016, Popovici et al., 2001)
PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Vsx2	Visual system homeobox 2	Chx2, dVsx2	(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
PIPSQUEAK TRANSCRIPTION FACTORS	bab1	bric a brac 1	bab, bric-a-brac, bric a brac, bab-I, bric a brac I	(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	bab2	bric a brac 2	bab, bab-II, bric-a-brac, bric a brac, BTB-II	(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	BtbVII	BTB-protein-VII	BTB-VII	(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	CG3726			(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	CG8924			(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	CG15812		piefke, pfk	(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	dan	distal antenna	fernandez	(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	danr	distal antenna-related	hernandez	(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	dany	distal antenna-young		(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	Eip93F	Ecdysone-induced protein 93F	E93, psg11, l(3)93, lincRNA.833, l(3)ry93	(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	lov	jim lovell	Tkr, BTB-III, dTKR, Tyrosine kinase-related protein, 91Y	(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	psq	pipsqueak	eyeful, rumpf, rum, psk, BTB-V	(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
PIPSQUEAK TRANSCRIPTION FACTORS	rib	ribbon		(Hammonds et al., 2013, Siegmund and Lehmann, 2002)
POU HOMEOBOX TRANSCRIPTION FACTORS	acj6	abnormal chemosensory jump 6	I-POU	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
POU HOMEOBOX TRANSCRIPTION FACTORS	nub	nubbin	Pdm1, pdm-1, Pdm, POU domain protein 1, dPOU-19	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Billin et al., 1991)
POU HOMEOBOX TRANSCRIPTION FACTORS	pdm2	POU domain protein 2	pdm-2, pdm, miti, dPOU28, dPOU-28	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Billin et al., 1991)
POU HOMEOBOX TRANSCRIPTION FACTORS	pdm3	pou domain motif 3		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
POU HOMEOBOX TRANSCRIPTION FACTORS	vvl	ventral veins lacking	drifter, dfr, Cf1a, ventral veinless, Drf	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Billin et al., 1991)
PROSPERO HOMEOBOX TRANSCRIPTION FACTORS	pros	prospero	Voila, DROPROSA, pro, l(3)10419, Prosp	(Bürglin and Affolter, 2016, Demidenko et al., 2001)
RUNT DOMAIN TRANSCRIPTION FACTORS	lz	lozenge	fs(1)M69	(Bao and Friedrich, 2008, Duncan et al., 2008)
RUNT DOMAIN TRANSCRIPTION FACTORS	run	runt	leg, AA33	(Bao and Friedrich, 2008, Duncan et al., 2008)
RUNT DOMAIN TRANSCRIPTION FACTORS	RunxA	Runt related A		(Bao and Friedrich, 2008, Duncan et al., 2008)
RUNT DOMAIN TRANSCRIPTION FACTORS	RunxB	Runt related B		(Bao and Friedrich, 2008, Duncan et al., 2008)
SANT-MYB DOMAIN TRANSCRIPTION FACTORS	apt	apontic	tdf, tracheae defective, l(2)09049, l(2)59Ea, l(2)06369	(Pfreundt et al., 2010, Liu et al., 2003)
SANT-MYB DOMAIN TRANSCRIPTION FACTORS	Bdp1	B double prime 1		(Verma et al., 2013, Pfreundt et al., 2010)
SANT-MYB DOMAIN TRANSCRIPTION FACTORS	Myb	Myb oncogene-like	Dm-Myb, Dm myb, dMyb, c-Myb, D-myb	(Pfreundt et al., 2010, Rosinski and Atchley, 1998)
SANT-MYB DOMAIN TRANSCRIPTION FACTORS	Pbp95	PSEA-binding protein 95kD	DmSNAP190, DmPBP	(Kim et al., 2010, Pfreundt et al., 2010)
SINE OCULIS HOMEOBOX TRANSCRIPTION FACTORS	Optix	Optix	opt, Six3, D-Six3, Dsix3	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Kawakami et al., 2000)
SINE OCULIS HOMEOBOX TRANSCRIPTION FACTORS	Six4	Six4	DSix4, D-Six4	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Kawakami et al., 2000)
SINE OCULIS HOMEOBOX TRANSCRIPTION FACTORS	so	sine oculis	Drl, mda, medusa	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Kawakami et al., 2000)
TALE HOMEOBOX TRANSCRIPTION FACTORS	achi	achintya	zaa	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
TALE HOMEOBOX TRANSCRIPTION FACTORS	ara	araucan	iro, iroquois, Iro-C, IroC	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
TALE HOMEOBOX TRANSCRIPTION FACTORS	caup	caupolican	iro, iroquois, Iro-C	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
TALE HOMEOBOX TRANSCRIPTION FACTORS	CG11617			(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
TALE HOMEOBOX TRANSCRIPTION FACTORS	exd	extradenticle	Dpbx, lincRNA.S9404	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
TALE HOMEOBOX TRANSCRIPTION FACTORS	hth	homothorax	dorsotonals, dtl, P53, anon-EST:Liang-2.13	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
TALE HOMEOBOX TRANSCRIPTION FACTORS	mirr	mirror	Iro-C, iro, iroquois, mrr, Sail	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
TALE HOMEOBOX TRANSCRIPTION FACTORS	vis	vismay	zaa, achi/vis	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
T-BOX TRANSCRIPTION FACTORS	bi	bifid	omb, optomotor-blind, optomotor blind, Qd, l(1)omb	(Pflugfelder et al., 2017, Prpic et al., 2003, Reim et al., 2003)
T-BOX TRANSCRIPTION FACTORS	byn	brachyenteron	Trg	(Pflugfelder et al., 2017, Prpic et al., 2003)
T-BOX TRANSCRIPTION FACTORS	Doc1	Dorsocross1	Doc, Dorsocross, Tb66F2	(Pflugfelder et al., 2017, Sui et al., 2012, Prpic et al., 2003, Reim et al., 2003)
T-BOX TRANSCRIPTION FACTORS	Doc2	Dorsocross2	Doc, Dorsocross, Doc-2	(Pflugfelder et al., 2017, Sui et al., 2012, Prpic et al., 2003, Reim et al., 2003)
T-BOX TRANSCRIPTION FACTORS	Doc3	Dorsocross3	Doc	(Pflugfelder et al., 2017, Sui et al., 2012, Prpic et al., 2003, Reim et al., 2003)
T-BOX TRANSCRIPTION FACTORS	H15	H15	nmr, nmr1, neuromancer, neuromancer 1, neuromancer1	(Pflugfelder et al., 2017, Prpic et al., 2003, Reim et al., 2003)
T-BOX TRANSCRIPTION FACTORS	mid	midline	nmr2, extra, neuromancer2, lost in space, neuromancer 2	(Pflugfelder et al., 2017, Prpic et al., 2003, Reim et al., 2003)
T-BOX TRANSCRIPTION FACTORS	org-1	optomotor-blind-related-gene-1		(Pflugfelder et al., 2017, Prpic et al., 2003)
TEA DOMAIN TRANSCRIPTION FACTORS	sd	scalloped	sp, spatula, l(1)G0309, l(1)G0262, l(1)G0483	(Srivastava et al., 2004, Paumard-Rigal et al., 1998)
THAP DOMAIN TRANSCRIPTION FACTORS	CG13894			(Hammonds et al., 2013, Roussigne et al., 2003)
THAP DOMAIN TRANSCRIPTION FACTORS	CG14860			(Hammonds et al., 2013, Roussigne et al., 2003)
THAP DOMAIN TRANSCRIPTION FACTORS	CG14965			(Hammonds et al., 2013, Roussigne et al., 2003)
THAP DOMAIN TRANSCRIPTION FACTORS	Dlip2	Dorsal interacting protein 2	Dip2	(Hammonds et al., 2013, Roussigne et al., 2003)
ZINC FINGER HOMEOBOX TRANSCRIPTION FACTORS	zfh1	Zn finger homeodomain 1	zfh-1, Zinc-finger homeodomain protein 1, zinc finger homeodomain 1, l(3)00865	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
ZINC FINGER HOMEOBOX TRANSCRIPTION FACTORS	zfh2	Zn finger homeodomain 2	zfh-2, zinc finger homeodomain 2	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
